rating,price_€,sim_dual,sim_sing,sim_3G,sim_4G,sim_5G,sim_volte,sim_wifi,sim_nfc,sim_irc_bl,sim_vo5g,ram_,memory_int(MB),battery_mAh,battery_w,display_inch,display_hz
74.0,164.989,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,33.0,6.4,90.0
84.0,1428.9,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,4352.0,,6.7,120.0
88.0,648.89,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,4700.0,80.0,6.73,120.0
88.0,461.89,1,0,1,1,1,1,1,1,1,0,8192.0,131072.0,4810.0,120.0,6.78,120.0
74.0,120.989,1,0,1,1,0,1,1,1,0,0,4096.0,65536.0,6000.0,15.0,6.6,
79.0,131.989,1,0,1,1,0,1,1,0,1,0,6144.0,131072.0,5000.0,33.0,6.43,
79.0,186.989,1,0,1,1,0,1,1,0,0,0,8192.0,131072.0,5000.0,33.0,6.4,90.0
83.0,340.89,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4500.0,66.0,6.62,120.0
75.0,197.989,1,0,1,1,1,1,1,0,0,0,4096.0,65536.0,5000.0,18.0,6.6,120.0
,60.489,1,0,1,1,0,1,1,0,0,0,4096.0,32768.0,4000.0,,6.54,
83.0,225.489,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5200.0,67.0,6.67,120.0
81.0,225.39,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.4,90.0
77.0,170.39,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,18.0,6.5,90.0
61.0,329.89,0,1,1,1,0,1,1,1,0,0,3072.0,65536.0,2050.0,,4.7,
79.0,170.48899999999998,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,18.0,6.58,120.0
80.0,131.989,1,0,1,1,0,1,1,0,1,0,6144.0,65536.0,5000.0,33.0,6.43,
74.0,120.989,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,33.0,6.6,120.0
82.0,241.89,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,18.0,6.58,
85.0,351.989,1,0,1,1,1,1,1,0,0,0,12288.0,262144.0,4500.0,44.0,6.44,90.0
77.0,131.989,1,0,1,1,0,1,1,0,1,0,6144.0,65536.0,5000.0,33.0,6.43,90.0
89.0,406.989,1,0,1,1,1,1,1,0,0,0,8192.0,262144.0,4500.0,180.0,6.8,120.0
62.0,76.98899999999999,1,0,1,1,0,1,1,0,0,0,3072.0,32768.0,5000.0,10.0,6.56,
89.0,439.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4600.0,125.0,6.7,165.0
78.0,164.989,1,0,1,1,1,1,1,1,0,0,4096.0,131072.0,5000.0,25.0,6.6,120.0
79.0,159.489,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,33.0,6.6,90.0
84.0,307.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4200.0,120.0,6.43,90.0
86.0,225.489,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,30.0,6.6,120.0
60.0,89.089,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,,6.5,
65.0,120.989,1,0,1,1,0,1,1,0,0,0,8192.0,131072.0,5000.0,10.0,6.5,
63.0,38.489,1,0,1,1,0,1,1,0,0,0,3072.0,32768.0,4000.0,,6.1,
,109.89,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,2150.0,,3.54,
85.0,384.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,6000.0,25.0,6.67,90.0
,516.9889999999999,1,0,1,1,1,1,1,0,0,0,12288.0,262144.0,6000.0,65.0,6.9,120.0
88.0,439.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4400.0,68.0,6.55,144.0
70.0,130.108,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,18.0,6.6,
86.0,505.989,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,4500.0,80.0,6.7,120.0
81.0,208.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.59,120.0
84.0,197.989,1,0,1,1,1,1,1,0,1,0,8192.0,131072.0,5000.0,67.0,6.67,120.0
66.0,93.489,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,15.0,6.5,
76.0,197.989,1,0,1,1,0,1,1,0,0,0,8192.0,131072.0,5000.0,33.0,6.56,90.0
75.0,158.95,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,25.0,6.6,
,604.9889999999999,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4610.0,125.0,6.67,144.0
,791.9889999999999,1,0,1,1,1,1,1,1,1,0,12288.0,262144.0,5000.0,120.0,6.6,120.0
79.0,142.989,1,0,1,1,0,1,1,1,0,0,6144.0,131072.0,5000.0,33.0,6.6,90.0
75.0,126.489,1,0,1,1,1,1,1,0,1,0,4096.0,65536.0,5000.0,18.0,6.58,90.0
87.0,395.989,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,4500.0,33.0,6.55,120.0
76.0,384.989,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,5000.0,25.0,6.4,120.0
73.0,131.989,1,0,1,1,0,1,1,0,0,0,8192.0,131072.0,6000.0,18.0,6.82,90.0
82.0,307.934,1,0,1,1,1,1,1,0,1,0,8192.0,262144.0,5000.0,67.0,6.67,120.0
77.0,1539.89,1,0,1,1,1,1,1,1,0,0,6144.0,262144.0,4323.0,,6.7,120.0
86.0,439.989,1,0,1,1,1,1,1,0,0,0,12288.0,262144.0,4830.0,66.0,6.56,120.0
79.0,170.48899999999998,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,18.0,6.5,90.0
80.0,208.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.6,120.0
73.0,120.989,1,0,1,1,1,1,1,0,0,0,4096.0,131072.0,5000.0,,6.5,90.0
81.0,307.989,1,0,1,1,1,1,1,1,1,0,8192.0,262144.0,5100.0,40.0,6.67,120.0
,901.989,1,0,1,1,1,1,1,1,0,0,12288.0,131072.0,5000.0,30.0,6.7,120.0
74.0,109.989,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,7000.0,33.0,6.95,90.0
85.0,351.934,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4300.0,44.0,6.56,90.0
65.0,102.289,1,0,1,1,0,1,1,0,0,0,3072.0,32768.0,5000.0,,6.5,
84.0,329.89,1,0,1,1,1,1,1,1,1,0,8192.0,131072.0,5500.0,67.0,6.67,120.0
78.0,284.9,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,4500.0,60.0,6.4,90.0
78.0,186.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,18.0,6.6,90.0
85.0,274.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4020.0,33.0,6.5,144.0
79.0,134.06799999999998,1,0,1,1,0,1,1,0,1,0,6144.0,65536.0,5000.0,33.0,6.43,90.0
,98.989,1,0,1,1,0,1,1,0,0,0,3072.0,32768.0,5000.0,10.0,6.51,
68.0,82.48899999999999,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,,6.53,
79.0,197.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.6,90.0
79.0,274.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,80.0,6.62,120.0
86.0,505.989,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,4500.0,80.0,6.7,120.0
,720.4889999999999,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,5000.0,80.0,6.7,120.0
89.0,648.89,1,0,1,1,1,1,1,1,1,0,8192.0,262144.0,4700.0,200.0,6.78,144.0
74.0,131.989,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,18.0,6.58,90.0
77.0,131.989,1,0,1,1,0,1,1,0,1,0,8192.0,131072.0,6000.0,18.0,6.7,
76.0,208.89,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.56,90.0
77.0,159.489,1,0,1,1,0,1,1,0,0,0,4096.0,131072.0,5000.0,44.0,6.44,
,1176.89,1,0,1,1,1,1,1,1,1,0,12288.0,262144.0,4500.0,67.0,8.02,120.0
66.0,115.489,1,0,1,1,0,1,1,0,0,0,3072.0,65536.0,5000.0,10.0,6.51,
86.0,296.89,1,0,1,1,1,1,1,1,0,0,8192.0,262144.0,4500.0,33.0,6.43,
82.0,219.89,1,0,1,1,0,1,1,0,0,0,8192.0,131072.0,4050.0,44.0,6.44,
89.0,274.989,1,0,1,1,1,1,1,1,1,0,8192.0,262144.0,4300.0,120.0,6.67,120.0
69.0,153.659,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,33.0,6.56,
83.0,494.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,67.0,6.7,120.0
84.0,274.989,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4700.0,66.0,6.44,90.0
86.0,584.1,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4355.0,30.0,6.3,90.0
81.0,186.989,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5000.0,33.0,6.6,90.0
82.0,240.889,1,0,1,1,0,1,1,0,0,0,8192.0,131072.0,4500.0,33.0,6.43,90.0
82.0,835.9889999999999,1,0,1,1,1,1,1,1,0,0,6144.0,262144.0,3279.0,,6.1,
85.0,285.989,1,0,1,1,1,1,1,1,0,0,8192.0,262144.0,5000.0,30.0,6.5,120.0
84.0,516.89,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,6000.0,80.0,6.8,120.0
